beat_index,wave_type,sample_index,timestamp,voltage
0,R,3,0.012,6.29014249357588
0,Q,0,0.0,-0.44556282322412516
0,S,21,0.084,2.900793426320547
0,T,23,0.092,3.9056701779554697
0,T_OFF,52,0.208,1.5308393214509275
1,R,151,0.604,1.2926347370565423
1,Q,147,0.588,-1.4350037201357975
1,S,155,0.62,-1.2678754474651968
1,P,144,0.576,0.38327909328573884
1,P_ON,140,0.56,-0.073822042778607
1,T,158,0.632,0.3354640809764436
1,T_OFF,162,0.648,-0.5123032078670727
2,R,282,1.128,1.6976061400364026
2,Q,276,1.104,-1.1826161296264983
2,S,296,1.184,-1.276304899249523
2,P,273,1.092,0.16495513719771726
2,P_ON,249,0.996,-0.5278000594525584
2,T,300,1.2,1.316579982265209
2,T_OFF,311,1.244,-0.35389277618964443
3,R,500,2.0,2.9205933498735255
3,Q,495,1.98,-1.2419435694236562
3,S,504,2.016,-1.1740490603692841
3,P,492,1.968,0.5091760797066912
3,P_ON,461,1.844,-0.047331969396895976
3,T,506,2.024,0.37993422425889195
3,T_OFF,583,2.332,-0.13798665467175572
4,R,606,2.424,0.5329393995621178
4,Q,603,2.412,-1.0641532164063219
4,S,608,2.432,-0.65717342051559
4,P,599,2.396,1.8357624287074412
4,P_ON,596,2.384,-0.1525518599025878
4,T,611,2.444,0.3493606504093294
4,T_OFF,665,2.66,-0.22823613059778988
5,R,779,3.116,1.9242566995600074
5,Q,773,3.092,-0.9027211292107402
5,S,782,3.128,-0.9670559237520461
5,P,770,3.08,0.4177852048829742
5,P_ON,766,3.064,-0.21253529389043074
5,T,785,3.14,0.4262636154018063
5,T_OFF,829,3.316,-0.2687787882431571
6,R,898,3.592,1.848605463389728
6,Q,893,3.572,-1.1656858086223008
6,S,902,3.608,-1.2339786669378308
6,P,891,3.564,0.31370941362815435
6,P_ON,844,3.376,-0.37535635115348787
6,T,905,3.62,0.3756548539808029
6,T_OFF,931,3.724,-0.18516078034769176
7,R,1028,4.112,2.6396154047171985
7,Q,1022,4.088,-0.9637244331010295
7,S,1032,4.128,-1.1576470375941694
7,P,1019,4.076,0.369839660172104
7,P_ON,1008,4.032,-0.38201579520653334
7,T,1035,4.14,0.3568387482941625
7,T_OFF,1085,4.34,-0.015462570992631848
8,R,1196,4.784,1.9151839022093131
8,Q,1192,4.768,-1.1477607054448522
8,S,1201,4.804,-1.1410619488149052
8,P,1189,4.756,0.4148295700662974
8,P_ON,1153,4.612,0.03295966003436902
8,T,1203,4.812,0.3684437527227685
8,T_OFF,1281,5.124,-0.29291801640690807
9,R,1342,5.368,1.4000980618757843
9,Q,1338,5.352,-1.671640336743402
9,S,1347,5.388,-1.700315830456929
9,T,1405,5.62,0.10375920815674099
9,T_OFF,1438,5.752,-0.060291123236434964
10,R,1493,5.972,5.489609339390708
10,Q,1473,5.892,1.1726769327940185
10,S,1496,5.984,-0.31498981217464295
10,P,1470,5.88,2.0492814658501093
10,P_ON,1430,5.72,0.6134930584296567
