Timestamp,Voltage_mV
0.0,877.625
0.004,877.625
0.008,1567.5
0.012,2047.938
0.016,2047.938
0.02,1204.625
0.024,820.562
0.028,1484.75
0.032,2047.938
0.036,2047.938
0.04,1185.312
0.044,777.375
0.048,1420.312
0.052,2047.938
0.056,2047.938
0.06,1177.875
0.064,735.062
0.068,1346.75
0.072,2047.938
0.076,2047.938
0.08,1155.625
0.084,686.438
0.088,1275.062
0.092,2047.938
0.096,2047.938
0.1,1159.625
0.104,666.438
0.108,1221.75
0.112,2047.938
0.116,2047.938
0.12,1149.75
0.124,629.75
0.128,1162.562
0.132,2038.75
0.136,2047.938
0.14,1157.688
0.144,608.625
0.148,1110.75
0.152,2002.0
0.156,2047.938
0.16,1171.688
0.164,595.062
0.168,1065.125
0.172,1965.188
0.176,2042.062
0.18,1173.5
0.184,571.625
0.188,1014.688
0.192,1931.125
0.196,2044.0
0.2,1195.125
0.204,567.125
0.208,975.75
0.212,1900.688
0.216,2043.688
0.22,1208.812
0.224,555.438
0.228,939.0
0.232,1878.312
0.236,2047.938
0.24,1235.25
0.244,550.438
0.248,891.125
0.252,1829.812
0.256,2040.562
0.26,1256.312
0.264,555.438
0.268,867.75
0.272,1812.875
0.276,2047.938
0.28,1278.75
0.284,552.438
0.288,833.438
0.292,1781.312
0.296,2045.625
0.3,1298.375
0.304,549.875
0.308,801.875
0.312,1757.938
0.316,2047.938
0.32,1335.25
0.324,564.438
0.328,781.625
0.332,1733.875
0.336,2047.938
0.34,1363.062
0.344,575.5
0.348,762.625
0.352,1709.375
0.356,2047.938
0.36,1399.875
0.364,591.375
0.368,742.188
0.372,1686.5
0.376,2047.938
0.38,1426.625
0.384,600.562
0.388,720.375
0.392,1659.062
0.396,2047.938
0.4,1449.562
0.404,604.875
0.408,693.75
0.412,1631.438
0.416,2047.938
0.42,1493.5
0.424,632.25
0.428,683.188
0.432,1607.312
0.436,2047.938
0.44,1524.062
0.444,652.562
0.448,675.875
0.452,1590.5
0.456,2047.938
0.46,1555.375
0.464,667.75
0.468,659.062
0.472,1564.062
0.476,2047.938
0.48,1592.625
0.484,688.562
0.488,644.812
0.492,1540.25
0.496,2047.938
0.5,1630.812
0.504,720.062
0.508,647.562
0.512,1528.062
0.516,2047.938
0.52,1665.75
0.524,740.625
0.528,633.062
0.532,1497.312
0.536,2047.938
0.54,1695.75
0.544,761.625
0.548,623.688
0.552,1472.688
0.556,2047.938
0.56,1728.875
0.564,790.0
0.568,623.25
0.572,1452.312
0.576,2047.938
0.58,1759.375
0.584,810.938
0.588,606.25
0.592,1419.062
0.596,2047.938
0.6,1794.438
0.604,614.562
0.608,1406.25
0.612,2047.938
0.616,1831.938
0.62,881.375
0.624,618.188
0.628,1385.562
0.632,2047.938
0.636,1864.562
0.64,910.625
0.644,615.5
0.648,1360.5
0.652,2047.938
0.656,1901.25
0.66,945.0
0.664,618.125
0.668,1337.625
0.672,2047.938
0.676,1921.188
0.68,971.438
0.684,620.25
0.688,1316.875
0.692,2047.938
0.696,1957.438
0.7,1013.375
0.704,631.062
0.708,1298.312
