Timestamp,LO_plus,LO_minus,Raw_ADC,Voltage_mV
1764839601.009548,1,1,1756,219.500
1764839601.0114005,1,1,1756,219.500
1764839601.013104,0,0,974,121.750
1764839601.0156941,0,0,498,62.250
1764839601.0197175,0,0,1101,137.625
1764839601.0237002,0,0,1282,160.250
1764839601.027692,0,0,1047,130.875
1764839601.0317466,0,1,899,112.375
1764839601.0357006,0,0,672,84.000
1764839601.039695,0,0,1174,146.750
1764839601.0436964,0,0,1237,154.625
1764839601.047702,0,0,942,117.750
1764839601.0516994,1,1,802,100.250
1764839601.0556905,0,0,494,61.750
1764839601.0596943,0,0,894,111.750
1764839601.0636954,0,0,1016,127.000
1764839601.0676908,0,0,816,102.000
1764839601.0717545,1,0,755,94.375
1764839601.075699,0,0,670,83.750
1764839601.0796921,0,0,1569,196.125
1764839601.083698,0,0,1697,212.125
1764839601.0876925,0,0,1141,142.625
1764839601.0916905,1,1,783,97.875
1764839601.0956895,0,0,466,58.250
1764839601.0996923,0,0,1046,130.750
1764839601.1036913,0,0,1226,153.250
1764839601.1076915,0,0,886,110.750
1764839601.1116974,1,0,705,88.125
1764839601.1156907,0,0,697,87.125
1764839601.1196916,0,0,1818,227.250
1764839601.1237051,0,0,1980,247.500
1764839601.127702,0,0,1239,154.875
1764839601.1316986,1,1,718,89.750
1764839601.1356905,0,0,357,44.625
1764839601.1397033,0,0,1158,144.750
1764839601.143766,0,0,1445,180.625
1764839601.1477156,0,0,974,121.750
1764839601.1517043,1,1,652,81.500
1764839601.155693,0,0,709,88.625
1764839601.159693,0,0,2199,274.875
1764839601.1637049,0,0,2443,305.375
1764839601.1677127,0,0,1452,181.500
1764839601.1717083,0,0,693,86.625
1764839601.1756914,0,0,244,30.500
1764839601.1797168,0,0,979,122.375
1764839601.1837227,0,0,1322,165.250
1764839601.1876936,0,0,864,108.000
1764839601.1916966,1,1,551,68.875
1764839601.195698,0,0,265,33.125
1764839601.1997104,0,0,842,105.250
1764839601.2037673,0,0,1128,141.000
1764839601.2077358,0,0,714,89.250
1764839601.211722,1,1,471,58.875
1764839601.2157006,0,0,469,58.625
1764839601.2196994,0,0,2039,254.875
1764839601.223723,0,0,2523,315.375
1764839601.2277226,0,0,1514,189.250
1764839601.2317073,1,0,648,81.000
1764839601.235693,0,0,178,22.250
1764839601.2396936,0,0,1015,126.875
1764839601.245456,0,0,1467,183.375
1764839601.2477412,0,0,901,112.625
1764839601.251695,1,1,449,56.125
1764839601.2556903,0,0,342,42.750
1764839601.2597246,0,0,1870,233.750
1764839601.263729,0,0,2459,307.375
1764839601.2676907,0,0,1463,182.875
1764839601.2716937,1,1,556,69.500
1764839601.2756906,0,0,286,35.750
1764839601.2796922,0,0,2093,261.625
1764839601.2836928,0,0,2856,357.000
1764839601.2876878,0,0,1706,213.250
1764839601.2916932,1,0,580,72.500
1764839601.2956882,0,0,172,21.500
1764839601.2996907,0,0,1790,223.750
1764839601.3036904,0,0,2576,322.000
1764839601.3076923,0,0,1544,193.000
1764839601.3117533,0,0,504,63.000
1764839601.3157325,0,0,141,17.625
1764839601.3197017,0,0,2165,270.625
1764839601.3236947,0,0,3173,396.625
1764839601.3276887,0,0,1920,240.000
1764839601.331699,1,0,573,71.625
1764839601.3356967,0,0,-81,-10.125
1764839601.3396962,0,0,1198,149.750
1764839601.3436935,0,0,2072,259.000
