Timestamp,LO_plus,LO_minus,Raw_ADC,Voltage_mV
1766253586.7304943,0,0,13199,1649.875
1766253586.7323024,0,0,13204,1650.500
1766253586.7360518,0,0,13207,1650.875
1766253586.7400446,0,0,13207,1650.875
1766253586.7440422,0,0,13204,1650.500
1766253586.7480474,1,1,13199,1649.875
1766253586.7520423,0,0,13203,1650.375
1766253586.7560453,0,0,13206,1650.750
1766253586.760044,0,0,13205,1650.625
1766253586.7640512,0,0,13203,1650.375
1766253586.7680864,1,1,13196,1649.500
1766253586.772053,0,0,13198,1649.750
1766253586.7760496,0,0,13203,1650.375
1766253586.7800517,0,0,13202,1650.250
1766253586.7840464,0,0,13200,1650.000
1766253586.7880538,1,1,13194,1649.250
1766253586.7920501,0,0,13196,1649.500
1766253586.7960553,0,0,13201,1650.125
1766253586.8000417,0,0,13200,1650.000
1766253586.8040414,0,0,13198,1649.750
1766253586.8080523,1,1,13193,1649.125
1766253586.812048,0,0,13195,1649.375
1766253586.8160877,0,0,13198,1649.750
1766253586.820077,0,0,13198,1649.750
1766253586.8240478,0,0,13196,1649.500
1766253586.828048,1,1,13191,1648.875
1766253586.832048,0,0,13193,1649.125
1766253586.8360584,0,0,13196,1649.500
1766253586.840047,0,0,13196,1649.500
1766253586.8440404,0,0,13195,1649.375
1766253586.8480666,1,1,13189,1648.625
1766253586.8520532,0,0,13189,1648.625
1766253586.8560543,0,0,13195,1649.375
1766253586.8600779,0,0,13194,1649.250
1766253586.8640711,0,0,13191,1648.875
1766253586.86805,1,1,13187,1648.375
1766253586.8720393,0,0,13187,1648.375
1766253586.8760464,0,0,13193,1649.125
1766253586.8800535,0,0,13193,1649.125
1766253586.8840504,0,0,13191,1648.875
1766253586.8880472,1,1,13186,1648.250
1766253586.8920374,0,0,13185,1648.125
1766253586.896052,0,0,13191,1648.875
1766253586.9000401,0,0,13191,1648.875
1766253586.9040391,0,0,13190,1648.750
1766253586.9080408,1,1,13186,1648.250
1766253586.9120388,0,0,13185,1648.125
1766253586.9160414,0,0,13190,1648.750
1766253586.9200487,0,0,13190,1648.750
1766253586.9240468,0,0,13188,1648.500
1766253586.928114,1,1,13184,1648.000
1766253586.932108,0,0,13182,1647.750
1766253586.936068,0,0,13187,1648.375
1766253586.9400594,0,0,13188,1648.500
1766253586.9440491,0,0,13185,1648.125
1766253586.9480445,1,1,13182,1647.750
1766253586.9520395,0,0,13180,1647.500
1766253586.956049,0,0,13185,1648.125
1766253586.9600496,0,0,13186,1648.250
1766253586.9640472,0,0,13185,1648.125
1766253586.9680445,1,1,13181,1647.625
1766253586.972039,0,0,13180,1647.500
1766253586.9760425,0,0,13185,1648.125
1766253586.9800475,0,0,13186,1648.250
1766253586.9840493,0,0,13183,1647.875
1766253586.9880981,1,1,13179,1647.375
1766253586.9920535,0,0,13177,1647.125
1766253586.9960508,0,0,13183,1647.875
1766253587.0000453,0,0,13184,1648.000
1766253587.004046,0,0,13181,1647.625
1766253587.0080984,1,1,13178,1647.250
1766253587.0121093,0,0,13175,1646.875
1766253587.0160515,0,0,13181,1647.625
1766253587.020048,0,0,13183,1647.875
1766253587.0240455,0,0,13180,1647.500
1766253587.028043,1,1,13177,1647.125
1766253587.0320394,0,0,13175,1646.875
1766253587.036104,0,0,13180,1647.500
1766253587.0400512,0,0,13181,1647.625
1766253587.0440412,0,0,13179,1647.375
1766253587.0480397,1,1,13176,1647.000
1766253587.0520427,0,0,13173,1646.625
1766253587.056113,0,0,13177,1647.125
1766253587.0600522,0,0,13179,1647.375
1766253587.0640402,0,0,13178,1647.250
1766253587.0680494,1,1,13174,1646.750
1766253587.07205,0,0,13171,1646.375
1766253587.076053,0,0,13177,1647.125
1766253587.0800393,0,0,13179,1647.375
1766253587.0840397,0,0,13177,1647.125
1766253587.088012,1,1,13174,1646.750
1766253587.092039,0,0,13169,1646.125
1766253587.0960436,0,0,13176,1647.000
1766253587.1000512,0,0,13177,1647.125
1766253587.1040473,0,0,13176,1647.000
1766253587.1080437,1,1,13173,1646.625
1766253587.1120384,0,0,13168,1646.000
1766253587.1166065,0,0,13174,1646.750
1766253587.1200671,0,0,13175,1646.875
1766253587.1240418,0,0,13174,1646.750
1766253587.1281056,1,1,13171,1646.375
1766253587.1320505,0,0,13166,1645.750
1766253587.136062,0,0,13173,1646.625
1766253587.1400425,0,0,13175,1646.875
1766253587.1440384,0,0,13173,1646.625
1766253587.148038,1,1,13170,1646.250
1766253587.1520371,0,0,13165,1645.625
1766253587.1560388,0,0,13171,1646.375
1766253587.1600387,0,0,13172,1646.500
1766253587.1640384,0,0,13171,1646.375
1766253587.1680493,1,1,13168,1646.000
1766253587.172048,0,0,13164,1645.500
1766253587.1760502,0,0,13171,1646.375
1766253587.1802557,0,0,13172,1646.500
1766253587.1840627,0,0,13169,1646.125
1766253587.1880493,1,1,13167,1645.875
1766253587.192038,0,0,13163,1645.375
1766253587.1960504,0,0,13168,1646.000
1766253587.200048,0,0,13170,1646.250
1766253587.2040489,0,0,13169,1646.125
1766253587.2080433,1,1,13166,1645.750
1766253587.2120397,0,0,13161,1645.125
1766253587.2160728,0,0,13167,1645.875
1766253587.2200408,0,0,13169,1646.125
1766253587.2240367,0,0,13167,1645.875
1766253587.2280474,1,1,13165,1645.625
1766253587.2320468,0,0,13159,1644.875
1766253587.2360492,0,0,13165,1645.625
1766253587.2400422,0,0,13168,1646.000
1766253587.244118,0,0,13166,1645.750
1766253587.2480597,1,1,13163,1645.375
1766253587.2520387,0,0,13158,1644.750
1766253587.2560697,0,0,13164,1645.500
1766253587.2600489,0,0,13166,1645.750
1766253587.2640467,0,0,13164,1645.500
1766253587.2680428,1,1,13163,1645.375
1766253587.272096,0,0,13157,1644.625
1766253587.276171,0,0,13162,1645.250
1766253587.280148,0,0,13165,1645.625
1766253587.2841408,0,0,13164,1645.500
1766253587.2881553,1,1,13161,1645.125
1766253587.292233,0,0,13156,1644.500
1766253587.296178,0,0,13162,1645.250
1766253587.3001416,0,0,13164,1645.500
1766253587.3041396,0,0,13163,1645.375
1766253587.3081567,1,1,13155,1644.375
1766253587.312172,0,0,13161,1645.125
1766253587.3162363,0,0,13162,1645.250
1766253587.320156,0,0,13162,1645.250
1766253587.3241427,0,0,13160,1645.000
1766253587.3282235,1,1,13154,1644.250
1766253587.3321567,0,0,13160,1645.000
1766253587.336165,0,0,13163,1645.375
1766253587.34048,0,0,13161,1645.125
1766253587.3443387,0,0,13159,1644.875
1766253587.3483956,1,1,13153,1644.125
1766253587.352181,0,0,13157,1644.625
1766253587.3561554,0,0,13161,1645.125
1766253587.3601472,0,0,13160,1645.000
1766253587.364143,0,0,13158,1644.750
1766253587.3681405,1,1,13154,1644.250
1766253587.3721392,0,0,13158,1644.750
1766253587.3764045,0,0,13161,1645.125
1766253587.380213,0,0,13159,1644.875
1766253587.3841665,0,0,13157,1644.625
1766253587.3881505,1,1,13152,1644.000
1766253587.3921385,0,0,13156,1644.500
1766253587.3961494,0,0,13159,1644.875
1766253587.4001422,0,0,13159,1644.875
1766253587.40414,0,0,13158,1644.750
1766253587.4081352,1,1,13152,1644.000
1766253587.4121377,0,0,13156,1644.500
1766253587.4162388,0,0,13158,1644.750
1766253587.420158,0,0,13158,1644.750
1766253587.4241426,0,0,13156,1644.500
1766253587.4281585,1,1,13150,1643.750
1766253587.4321542,0,0,13155,1644.375
1766253587.436159,0,0,13158,1644.750
1766253587.4401438,0,0,13157,1644.625
1766253587.4441404,0,0,13155,1644.375
1766253587.448144,1,1,13151,1643.875
1766253587.4521377,0,0,13154,1644.250
1766253587.4561434,0,0,13157,1644.625
1766253587.4601529,0,0,13156,1644.500
1766253587.4641545,0,0,13154,1644.250
1766253587.4682279,1,1,13149,1643.625
1766253587.4721491,0,0,13152,1644.000
1766253587.4761512,0,0,13156,1644.500
1766253587.4801543,0,0,13156,1644.500
1766253587.484157,0,0,13154,1644.250
1766253587.488146,1,1,13148,1643.500
1766253587.4921372,0,0,13151,1643.875
1766253587.4961607,0,0,13154,1644.250
1766253587.5001404,0,0,13154,1644.250
1766253587.504137,0,0,13151,1643.875
1766253587.5081835,1,1,13147,1643.375
1766253587.51228,0,0,13150,1643.750
1766253587.5161767,0,0,13153,1644.125
1766253587.5201416,0,0,13154,1644.250
1766253587.5241373,0,0,13151,1643.875
1766253587.528235,1,1,13146,1643.250
1766253587.5321891,0,0,13148,1643.500
1766253587.5361676,0,0,13152,1644.000
1766253587.5401397,0,0,13153,1644.125
1766253587.544137,0,0,13151,1643.875
1766253587.5481608,1,1,13146,1643.250
1766253587.552223,0,0,13147,1643.375
1766253587.5561745,0,0,13151,1643.875
1766253587.5601375,0,0,13152,1644.000
1766253587.5641353,0,0,13150,1643.750
1766253587.5681581,1,1,13145,1643.125
1766253587.5721545,0,0,13146,1643.250
1766253587.5761569,0,0,13151,1643.875
1766253587.5801406,0,0,13151,1643.875
1766253587.5841346,0,0,13149,1643.625
1766253587.5881371,1,1,13143,1642.875
1766253587.5921366,0,0,13146,1643.250
1766253587.5961595,0,0,13150,1643.750
1766253587.6001587,0,0,13151,1643.875
1766253587.6041555,0,0,13149,1643.625
1766253587.6082091,1,1,13143,1642.875
1766253587.612146,0,0,13144,1643.000
1766253587.616144,0,0,13150,1643.750
1766253587.6201522,0,0,13151,1643.875
1766253587.6241498,0,0,13148,1643.500
1766253587.6283295,1,1,13144,1643.000
1766253587.632162,0,0,13143,1642.875
1766253587.6361618,0,0,13148,1643.500
1766253587.6401343,0,0,13148,1643.500
1766253587.644133,0,0,13148,1643.500
1766253587.6481328,1,1,13142,1642.750
1766253587.6521337,0,0,13142,1642.750
1766253587.6561558,0,0,13147,1643.375
1766253587.6602209,0,0,13148,1643.500
1766253587.6641612,0,0,13146,1643.250
1766253587.668146,1,1,13141,1642.625
1766253587.6721342,0,0,13141,1642.625
1766253587.676154,0,0,13147,1643.375
1766253587.6801531,0,0,13147,1643.375
1766253587.6841497,0,0,13145,1643.125
1766253587.688143,1,1,13141,1642.625
1766253587.692135,0,0,13141,1642.625
1766253587.6961517,0,0,13146,1643.250
1766253587.7001395,0,0,13147,1643.375
1766253587.7041364,0,0,13145,1643.125
1766253587.7081776,1,1,13140,1642.500
1766253587.712193,0,0,13138,1642.250
1766253587.7161653,0,0,13144,1643.000
1766253587.720135,0,0,13146,1643.250
1766253587.724136,0,0,13144,1643.000
1766253587.7338896,0,0,13144,1643.000
1766253587.7361534,0,0,13144,1643.000
1766253587.7401361,0,0,13143,1642.875
1766253587.7441356,0,0,13144,1643.000
1766253587.7481375,1,1,13140,1642.500
1766253587.7521343,0,0,13137,1642.125
1766253587.7561388,0,0,13144,1643.000
1766253587.760207,0,0,13144,1643.000
1766253587.7641633,0,0,13142,1642.750
1766253587.76814,1,1,13138,1642.250
1766253587.7721372,0,0,13136,1642.000
1766253587.7761436,0,0,13141,1642.625
1766253587.7801523,0,0,13144,1643.000
1766253587.7841492,0,0,13142,1642.750
1766253587.7881453,1,1,13139,1642.375
1766253587.7921352,0,0,13136,1642.000
1766253587.7961335,0,0,13142,1642.750
1766253587.8001509,0,0,13144,1643.000
1766253587.8041477,0,0,13142,1642.750
1766253587.8081517,1,1,13138,1642.250
1766253587.8122153,0,0,13135,1641.875
1766253587.81617,0,0,13140,1642.500
1766253587.820133,0,0,13142,1642.750
1766253587.8241305,0,0,13140,1642.500
1766253587.8281462,1,1,13137,1642.125
1766253587.8321507,0,0,13134,1641.750
1766253587.8361564,0,0,13140,1642.500
1766253587.8401334,0,0,13142,1642.750
1766253587.8441286,0,0,13141,1642.625
1766253587.8481557,1,1,13137,1642.125
1766253587.852274,0,0,13134,1641.750
1766253587.8561895,0,0,13139,1642.375
1766253587.860136,0,0,13141,1642.625
1766253587.8641288,0,0,13139,1642.375
1766253587.8681452,1,1,13136,1642.000
1766253587.8721445,0,0,13133,1641.625
1766253587.876195,0,0,13139,1642.375
1766253587.8802843,0,0,13142,1642.750
1766253587.8842225,0,0,13139,1642.375
1766253587.888181,1,1,13136,1642.000
1766253587.8921664,0,0,13132,1641.500
1766253587.8961704,0,0,13138,1642.250
1766253587.900174,0,0,13140,1642.500
1766253587.9041686,0,0,13138,1642.250
1766253587.9081686,1,1,13135,1641.875
1766253587.9121647,0,0,13131,1641.375
1766253587.9161792,0,0,13139,1642.375
1766253587.920191,0,0,13137,1642.125
1766253587.9242501,0,0,13134,1641.750
1766253587.9281948,1,1,13130,1641.250
1766253587.9322398,0,0,13135,1641.875
1766253587.936209,0,0,13137,1642.125
1766253587.9401777,0,0,13137,1642.125
1766253587.944227,0,0,13135,1641.875
1766253587.9481936,1,1,13130,1641.250
1766253587.952172,0,0,13136,1642.000
1766253587.9561918,0,0,13139,1642.375
1766253587.9601882,0,0,13137,1642.125
1766253587.9641893,0,0,13134,1641.750
1766253587.968182,1,1,13129,1641.125
1766253587.972173,0,0,13134,1641.750
1766253587.9761977,0,0,13137,1642.125
1766253587.9801748,0,0,13135,1641.875
1766253587.9841444,0,0,13133,1641.625
1766253587.988141,1,1,13128,1641.000
1766253587.992129,0,0,13135,1641.875
1766253587.9961407,0,0,13137,1642.125
1766253588.0001438,0,0,13136,1642.000
1766253588.0041428,0,0,13133,1641.625
1766253588.0081384,1,1,13128,1641.000
1766253588.0121305,0,0,13133,1641.625
1766253588.016197,0,0,13136,1642.000
1766253588.020137,0,0,13134,1641.750
1766253588.0241456,0,0,13132,1641.500
1766253588.028137,1,1,13126,1640.750
1766253588.03213,0,0,13132,1641.500
1766253588.0361392,0,0,13136,1642.000
1766253588.0401423,0,0,13135,1641.875
1766253588.0441833,0,0,13132,1641.500
1766253588.0481448,1,1,13126,1640.750
1766253588.0521302,0,0,13133,1641.625
1766253588.0561402,0,0,13135,1641.875
1766253588.0601478,0,0,13134,1641.750
1766253588.0641415,0,0,13131,1641.375
1766253588.0681334,1,1,13126,1640.750
1766253588.0721285,0,0,13132,1641.500
1766253588.0761962,0,0,13135,1641.875
1766253588.080147,0,0,13134,1641.750
1766253588.0841377,0,1,13131,1641.375
1766253588.0881405,1,1,13126,1640.750
1766253588.092144,0,0,13131,1641.375
1766253588.0961926,0,0,13132,1641.500
1766253588.1001341,0,0,13131,1641.375
1766253588.104126,0,1,13130,1641.250
1766253588.108144,1,1,13126,1640.750
1766253588.1121407,0,0,13130,1641.250
1766253588.1161456,0,0,13133,1641.625
1766253588.120133,0,0,13132,1641.500
1766253588.124129,1,1,13130,1641.250
1766253588.1281223,1,1,13124,1640.500
1766253588.1322203,0,0,13128,1641.000
1766253588.1361933,0,0,13131,1641.375
1766253588.1401508,0,0,13130,1641.250
1766253588.1441324,1,1,13129,1641.125
1766253588.1481237,1,1,13124,1640.500
1766253588.1521242,0,0,13128,1641.000
1766253588.156145,0,0,13132,1641.500
