Timestamp,LO_plus,LO_minus,Raw_ADC,Voltage_mV
1765544534.5559216,0,0,12569,1571.125
1765544534.5577157,0,0,12530,1566.250
1765544534.5615222,1,1,12531,1566.375
1765544534.5655124,0,0,13008,1626.000
1765544534.5694847,0,0,12693,1586.625
1765544534.5734835,0,0,12562,1570.250
1765544534.5774765,0,0,12527,1565.875
1765544534.581481,0,0,12530,1566.250
1765544534.5854766,1,0,13111,1638.875
1765544534.5894768,0,0,12746,1593.250
1765544534.5934799,0,0,12574,1571.750
1765544534.597476,0,0,12529,1566.125
1765544534.6014812,0,0,12538,1567.250
1765544534.6054866,0,0,13268,1658.500
1765544534.609499,0,0,12812,1601.500
1765544534.6134887,0,0,12589,1573.625
1765544534.6174812,0,0,12529,1566.125
1765544534.621487,1,1,12527,1565.875
1765544534.6254864,1,0,13203,1650.375
1765544534.6294866,0,0,12798,1599.750
1765544534.6334825,0,0,12582,1572.750
1765544534.6374784,0,0,12525,1565.625
1765544534.641487,1,1,12517,1564.625
1765544534.6454864,0,0,13103,1637.875
1765544534.6494865,0,0,12760,1595.000
1765544534.6534884,0,0,12571,1571.375
1765544534.657488,0,0,12520,1565.000
1765544534.6614876,1,1,12508,1563.500
1765544534.665487,0,1,12941,1617.625
1765544534.6695232,0,0,12717,1589.625
1765544534.6735265,0,0,12558,1569.750
1765544534.677493,0,0,12516,1564.500
1765544534.6815019,1,1,12507,1563.375
1765544534.6854765,0,0,13030,1628.750
1765544534.6894753,0,0,12770,1596.250
1765544534.6934874,0,0,12571,1571.375
1765544534.697486,0,0,12519,1564.875
1765544534.701536,1,1,12506,1563.250
1765544534.7054877,0,0,12963,1620.375
1765544534.7094753,0,0,12755,1594.375
1765544534.713487,0,0,12567,1570.875
1765544534.7174866,0,0,12517,1564.625
1765544534.721487,1,1,12506,1563.250
1765544534.72547,1,0,13086,1635.750
1765544534.7294748,0,0,12839,1604.875
1765544534.7335331,0,0,12588,1573.500
1765544534.7374933,0,0,12521,1565.125
1765544534.7414834,1,1,12504,1563.000
1765544534.7454846,1,0,12886,1610.750
1765544534.749481,0,0,12743,1592.875
1765544534.7535388,0,0,12561,1570.125
1765544534.7575035,0,0,12513,1564.125
1765544534.7614887,1,1,12502,1562.750
1765544534.7658389,0,0,12710,1588.750
1765544534.769541,0,0,12655,1581.875
1765544534.7734864,0,0,12539,1567.375
1765544534.7774806,0,0,12509,1563.625
1765544534.781486,1,1,12503,1562.875
1765544534.7854834,0,0,13067,1633.375
1765544534.7894814,0,0,12918,1614.750
1765544534.7934809,0,0,12607,1575.875
1765544534.797528,0,0,12526,1565.750
1765544534.8014956,1,1,12505,1563.125
1765544534.8054821,1,0,13016,1627.000
1765544534.8094826,0,0,12910,1613.750
1765544534.813484,0,0,12604,1575.500
1765544534.8174827,0,0,12523,1565.375
1765544534.821485,1,1,12501,1562.625
1765544534.8255122,0,0,13032,1629.000
1765544534.829571,0,0,12939,1617.375
1765544534.8335457,0,0,12609,1576.125
1765544534.8374796,0,0,12521,1565.125
1765544534.841536,1,1,12499,1562.375
1765544534.8454847,0,0,12892,1611.500
1765544534.849486,0,0,12867,1608.375
1765544534.8534796,0,0,12588,1573.500
1765544534.8574734,0,0,12514,1564.250
1765544534.8614867,1,1,12496,1562.000
1765544534.8654869,0,0,12808,1601.000
1765544534.8695242,0,0,12823,1602.875
1765544534.873488,0,0,12576,1572.000
1765544534.877473,0,0,12511,1563.875
1765544534.8814812,1,1,12495,1561.875
1765544534.8854825,0,0,12845,1605.625
1765544534.889483,0,0,12893,1611.625
1765544534.8934777,0,0,12594,1574.250
1765544534.8974743,0,0,12516,1564.500
1765544534.9014852,1,1,12495,1561.875
1765544534.905487,0,0,12812,1601.500
1765544534.9095402,0,0,12895,1611.875
1765544534.9134927,0,0,12594,1574.250
1765544534.917473,0,0,12515,1564.375
1765544534.9214826,1,1,12494,1561.750
1765544534.925483,0,0,12783,1597.875
1765544534.9294815,0,0,12908,1613.500
1765544534.9334774,0,0,12597,1574.625
1765544534.9374738,0,0,12515,1564.375
1765544534.9414778,1,1,12494,1561.750
